"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"130","-0.02752858"," 0.0727275","0.172984","1.1641e-04","0.020","0.235"
"131"," 0.01992165"," 0.0876868","0.155452","2.2919e-04","0.020","0.230"
"132","-0.00497453"," 0.0586305","0.122235","3.0195e-04","0.020","0.225"
"133"," 0.01242595"," 0.0621265","0.111827","4.8749e-04","0.020","0.220"
"134"," 0.02148609"," 0.0640743","0.106663","6.4028e-04","0.020","0.215"
"135"," 0.03122158"," 0.0670524","0.102883","8.5492e-04","0.020","0.210"
"136"," 0.05074953"," 0.0810759","0.111402","1.0732e-03","0.020","0.205"
"137"," 0.05409818"," 0.0805518","0.107005","1.3533e-03","0.020","0.200"
"138"," 0.05839872"," 0.0804850","0.102571","1.8517e-03","0.020","0.195"
"139"," 0.06059940"," 0.0798402","0.099081","2.3792e-03","0.020","0.190"
"140"," 0.06308036"," 0.0796717","0.096263","3.0704e-03","0.020","0.185"
"141"," 0.06408561"," 0.0785106","0.092936","3.9253e-03","0.020","0.180"
"142"," 0.06974162"," 0.0821199","0.094498","5.0167e-03","0.020","0.175"
"143"," 0.07077674"," 0.0821644","0.093552","5.7443e-03","0.020","0.170"
"144"," 0.07315152"," 0.0838083","0.094465","6.3810e-03","0.020","0.165"
"145"," 0.07168325"," 0.0815217","0.091360","7.3814e-03","0.020","0.160"
"146"," 0.07045168"," 0.0793282","0.088205","8.7711e-03","0.020","0.155"
"147"," 0.07242059"," 0.0804454","0.088470","1.0183e-02","0.020","0.150"
"148"," 0.07132390"," 0.0788360","0.086348","1.1423e-02","0.020","0.145"
"149"," 0.07328661"," 0.0796782","0.086070","1.4610e-02","0.020","0.140"
"150"," 0.07196181"," 0.0777464","0.083531","1.7328e-02","0.020","0.135"
"151"," 0.07017201"," 0.0754449","0.080718","2.0362e-02","0.020","0.130"
"152"," 0.07038940"," 0.0752824","0.080175","2.2850e-02","0.020","0.125"
"153"," 0.07148663"," 0.0758342","0.080182","2.7005e-02","0.020","0.120"
"154"," 0.07180594"," 0.0757977","0.079789","3.0632e-02","0.020","0.115"
"155"," 0.07145094"," 0.0752541","0.079057","3.2920e-02","0.020","0.110"
"157","-0.16957785"," 0.2557000","0.425278","3.6380e-06","0.025","0.255"
"158","-0.16957785"," 0.2557000","0.425278","3.6380e-06","0.025","0.250"
"159","-0.00536148"," 0.1031189","0.211599","7.6397e-05","0.025","0.245"
"160","-0.02588729"," 0.0672097","0.160307","1.2369e-04","0.025","0.240"
"161","-0.00728411"," 0.0764921","0.160268","1.4916e-04","0.025","0.235"
"162"," 0.04244812"," 0.0973748","0.152301","3.1286e-04","0.025","0.230"
"163"," 0.02830247"," 0.0797783","0.131254","4.0381e-04","0.025","0.225"
"164"," 0.03460916"," 0.0758258","0.117042","6.3300e-04","0.025","0.220"
"165"," 0.03583009"," 0.0722265","0.108623","8.0763e-04","0.025","0.215"
"166"," 0.04760487"," 0.0782415","0.108878","1.0732e-03","0.025","0.210"
"167"," 0.06104786"," 0.0873025","0.113557","1.3497e-03","0.025","0.205"
"168"," 0.06403231"," 0.0869997","0.109967","1.7062e-03","0.025","0.200"
"169"," 0.06350340"," 0.0828962","0.102289","2.3465e-03","0.025","0.195"
"170"," 0.06407917"," 0.0810368","0.097994","3.0231e-03","0.025","0.190"
"171"," 0.06899019"," 0.0834298","0.097869","3.9399e-03","0.025","0.185"
"172"," 0.06751212"," 0.0800567","0.092601","5.0640e-03","0.025","0.180"
"173"," 0.07219586"," 0.0829549","0.093714","6.4756e-03","0.025","0.175"
"174"," 0.07389866"," 0.0838071","0.093716","7.3887e-03","0.025","0.170"
"175"," 0.07557703"," 0.0848719","0.094167","8.2036e-03","0.025","0.165"
"176"," 0.07461280"," 0.0831376","0.091662","9.5533e-03","0.025","0.160"
"177"," 0.07263420"," 0.0802970","0.087960","1.1474e-02","0.025","0.155"
"178"," 0.07384535"," 0.0808110","0.087777","1.3286e-02","0.025","0.150"
"179"," 0.07207773"," 0.0786193","0.085161","1.4890e-02","0.025","0.145"
"180"," 0.07345498"," 0.0790428","0.084631","1.8994e-02","0.025","0.140"
"181"," 0.07276888"," 0.0778258","0.082883","2.2417e-02","0.025","0.135"
"182"," 0.07074459"," 0.0753708","0.079997","2.6277e-02","0.025","0.130"
"183"," 0.07061714"," 0.0749193","0.079221","2.9493e-02","0.025","0.125"
"184"," 0.07141003"," 0.0752392","0.079068","3.4862e-02","0.025","0.120"
"185"," 0.07192840"," 0.0754434","0.078958","3.9461e-02","0.025","0.115"
"186"," 0.07124159"," 0.0746001","0.077959","4.2364e-02","0.025","0.110"
"188"," 0.04554802"," 0.2566200","0.467692","1.8190e-05","0.030","0.255"
"189"," 0.04554802"," 0.2566200","0.467692","1.8190e-05","0.030","0.250"
"190","-0.00788396"," 0.0791300","0.166144","1.3460e-04","0.030","0.245"
"191","-0.01527831"," 0.0577174","0.130713","2.0009e-04","0.030","0.240"
"192"," 0.01359835"," 0.0771034","0.140608","2.4738e-04","0.030","0.235"
"193"," 0.04051092"," 0.0851319","0.129753","4.8385e-04","0.030","0.230"
"194"," 0.03721197"," 0.0788920","0.120572","5.9299e-04","0.030","0.225"
"195"," 0.04272405"," 0.0767679","0.110812","8.9857e-04","0.030","0.220"
"196"," 0.04652996"," 0.0769161","0.107302","1.1096e-03","0.030","0.215"
"197"," 0.05441611"," 0.0800100","0.105604","1.4661e-03","0.030","0.210"
"198"," 0.05729293"," 0.0800696","0.102846","1.8226e-03","0.030","0.205"
"199"," 0.06078140"," 0.0807565","0.100732","2.3101e-03","0.030","0.200"
"200"," 0.06206076"," 0.0788749","0.095689","3.1796e-03","0.030","0.195"
"201"," 0.06247823"," 0.0770817","0.091685","4.1364e-03","0.030","0.190"
"202"," 0.06703228"," 0.0794275","0.091823","5.4460e-03","0.030","0.185"
"203"," 0.06747634"," 0.0782048","0.088933","6.9958e-03","0.030","0.180"
"204"," 0.07039225"," 0.0796823","0.088972","8.9275e-03","0.030","0.175"
"205"," 0.07339168"," 0.0819428","0.090494","1.0124e-02","0.030","0.170"
"206"," 0.07355533"," 0.0816040","0.089653","1.1234e-02","0.030","0.165"
"207"," 0.07376663"," 0.0811253","0.088484","1.3097e-02","0.030","0.160"
"208"," 0.07144350"," 0.0780781","0.084713","1.5723e-02","0.030","0.155"
"209"," 0.07294262"," 0.0789490","0.084955","1.8284e-02","0.030","0.150"
"210"," 0.07078360"," 0.0764410","0.082098","2.0471e-02","0.030","0.145"
"211"," 0.07156671"," 0.0764186","0.081270","2.5964e-02","0.030","0.140"
"212"," 0.07119633"," 0.0755883","0.079980","3.0552e-02","0.030","0.135"
"213"," 0.06962061"," 0.0736187","0.077617","3.5899e-02","0.030","0.130"
