"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"129"," 0.07800","0.0826","7.95e-03"," 4221","0.0575","0.105","0.140"
"130"," 0.07730","0.0817","8.73e-03"," 4636","0.0575","0.100","0.140"
"131"," 0.07320","0.0771","1.09e-02"," 5773","0.0575","0.095","0.140"
"132"," 0.07100","0.0743","1.43e-02"," 7570","0.0575","0.090","0.140"
"134"," 0.08290","0.0983","8.02e-04","  426","0.0600","0.135","0.140"
"135"," 0.07580","0.0875","1.60e-03","  849","0.0600","0.130","0.140"
"136"," 0.07770","0.0860","3.00e-03"," 1594","0.0600","0.125","0.140"
"137"," 0.07800","0.0852","3.87e-03"," 2055","0.0600","0.120","0.140"
"138"," 0.07830","0.0841","5.38e-03"," 2855","0.0600","0.115","0.140"
"139"," 0.07860","0.0837","6.80e-03"," 3609","0.0600","0.110","0.140"
"140"," 0.07680","0.0811","9.17e-03"," 4868","0.0600","0.105","0.140"
"141"," 0.07630","0.0804","1.01e-02"," 5357","0.0600","0.100","0.140"
"142"," 0.07240","0.0760","1.25e-02"," 6662","0.0600","0.095","0.140"
"143"," 0.07000","0.0730","1.64e-02"," 8703","0.0600","0.090","0.140"
"145"," 0.08020","0.0948","9.51e-04","  505","0.0625","0.135","0.140"
"146"," 0.07360","0.0846","1.85e-03","  983","0.0625","0.130","0.140"
"147"," 0.07600","0.0838","3.45e-03"," 1834","0.0625","0.125","0.140"
"148"," 0.07680","0.0836","4.44e-03"," 2356","0.0625","0.120","0.140"
"149"," 0.07720","0.0828","6.17e-03"," 3277","0.0625","0.115","0.140"
"150"," 0.07680","0.0816","7.80e-03"," 4141","0.0625","0.110","0.140"
"151"," 0.07540","0.0794","1.05e-02"," 5585","0.0625","0.105","0.140"
"152"," 0.07520","0.0790","1.15e-02"," 6124","0.0625","0.100","0.140"
"153"," 0.07120","0.0747","1.43e-02"," 7585","0.0625","0.095","0.140"
"154"," 0.06930","0.0722","1.86e-02"," 9878","0.0625","0.090","0.140"
"156"," 0.07810","0.0919","1.09e-03","  580","0.0650","0.135","0.140"
"157"," 0.07220","0.0825","2.13e-03"," 1133","0.0650","0.130","0.140"
"158"," 0.07470","0.0820","3.99e-03"," 2116","0.0650","0.125","0.140"
"159"," 0.07640","0.0827","5.08e-03"," 2695","0.0650","0.120","0.140"
"160"," 0.07730","0.0825","7.03e-03"," 3731","0.0650","0.115","0.140"
"161"," 0.07630","0.0809","8.87e-03"," 4708","0.0650","0.110","0.140"
"162"," 0.07500","0.0788","1.19e-02"," 6343","0.0650","0.105","0.140"
"163"," 0.07460","0.0782","1.31e-02"," 6938","0.0650","0.100","0.140"
"164"," 0.07120","0.0744","1.62e-02"," 8591","0.0650","0.095","0.140"
"165"," 0.06960","0.0723","2.11e-02","11183","0.0650","0.090","0.140"
"167"," 0.07770","0.0906","1.25e-03","  666","0.0675","0.135","0.140"
"168"," 0.07300","0.0826","2.42e-03"," 1286","0.0675","0.130","0.140"
"169"," 0.07480","0.0816","4.57e-03"," 2425","0.0675","0.125","0.140"
"170"," 0.07630","0.0822","5.83e-03"," 3093","0.0675","0.120","0.140"
"171"," 0.07600","0.0809","8.03e-03"," 4264","0.0675","0.115","0.140"
"172"," 0.07490","0.0792","1.01e-02"," 5381","0.0675","0.110","0.140"
"173"," 0.07360","0.0772","1.36e-02"," 7233","0.0675","0.105","0.140"
"174"," 0.07360","0.0770","1.49e-02"," 7910","0.0675","0.100","0.140"
"175"," 0.07050","0.0735","1.84e-02"," 9748","0.0675","0.095","0.140"
"176"," 0.06880","0.0713","2.39e-02","12670","0.0675","0.090","0.140"
"178"," 0.07460","0.0872","1.39e-03","  737","0.0700","0.135","0.140"
"179"," 0.07020","0.0795","2.70e-03"," 1432","0.0700","0.130","0.140"
"180"," 0.07320","0.0798","5.11e-03"," 2713","0.0700","0.125","0.140"
"181"," 0.07490","0.0806","6.52e-03"," 3462","0.0700","0.120","0.140"
"182"," 0.07390","0.0786","9.01e-03"," 4786","0.0700","0.115","0.140"
"183"," 0.07310","0.0772","1.14e-02"," 6046","0.0700","0.110","0.140"
"184"," 0.07200","0.0755","1.53e-02"," 8121","0.0700","0.105","0.140"
"185"," 0.07210","0.0754","1.67e-02"," 8875","0.0700","0.100","0.140"
"186"," 0.06960","0.0725","2.06e-02","10922","0.0700","0.095","0.140"
