"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"160"," 0.07540"," 0.08070","7.09e-03"," 3765","0.0650","0.115","0.140"
"161"," 0.07520"," 0.07970","8.92e-03"," 4738","0.0650","0.110","0.140"
"162"," 0.07470"," 0.07850","1.20e-02"," 6380","0.0650","0.105","0.140"
"163"," 0.07500"," 0.07850","1.32e-02"," 6993","0.0650","0.100","0.140"
"164"," 0.07200"," 0.07520","1.62e-02"," 8617","0.0650","0.095","0.140"
"165"," 0.06950"," 0.07220","2.10e-02","11172","0.0650","0.090","0.140"
"167"," 0.07110"," 0.08460","1.28e-03","  681","0.0675","0.135","0.140"
"168"," 0.07050"," 0.08040","2.43e-03"," 1291","0.0675","0.130","0.140"
"169"," 0.07490"," 0.08170","4.66e-03"," 2475","0.0675","0.125","0.140"
"170"," 0.07670"," 0.08250","5.90e-03"," 3135","0.0675","0.120","0.140"
"171"," 0.07510"," 0.08000","8.11e-03"," 4306","0.0675","0.115","0.140"
"172"," 0.07490"," 0.07920","1.02e-02"," 5420","0.0675","0.110","0.140"
"173"," 0.07430"," 0.07790","1.36e-02"," 7238","0.0675","0.105","0.140"
"174"," 0.07430"," 0.07770","1.49e-02"," 7928","0.0675","0.100","0.140"
"175"," 0.07110"," 0.07410","1.84e-02"," 9745","0.0675","0.095","0.140"
"176"," 0.06880"," 0.07130","2.37e-02","12573","0.0675","0.090","0.140"
"178"," 0.06670"," 0.07970","1.45e-03","  771","0.0700","0.135","0.140"
"179"," 0.06790"," 0.07730","2.76e-03"," 1463","0.0700","0.130","0.140"
"180"," 0.07260"," 0.07910","5.23e-03"," 2778","0.0700","0.125","0.140"
"181"," 0.07430"," 0.07990","6.65e-03"," 3530","0.0700","0.120","0.140"
"182"," 0.07310"," 0.07780","9.16e-03"," 4862","0.0700","0.115","0.140"
"183"," 0.07340"," 0.07740","1.15e-02"," 6098","0.0700","0.110","0.140"
"184"," 0.07280"," 0.07620","1.53e-02"," 8136","0.0700","0.105","0.140"
"185"," 0.07290"," 0.07610","1.68e-02"," 8918","0.0700","0.100","0.140"
"186"," 0.06990"," 0.07280","2.06e-02","10951","0.0700","0.095","0.140"
"187"," 0.06780"," 0.07020","2.65e-02","14094","0.0700","0.090","0.140"
"189"," 0.06660"," 0.07890","1.61e-03","  854","0.0725","0.135","0.140"
"190"," 0.06780"," 0.07670","3.05e-03"," 1619","0.0725","0.130","0.140"
"191"," 0.07200"," 0.07830","5.82e-03"," 3088","0.0725","0.125","0.140"
"192"," 0.07320"," 0.07860","7.44e-03"," 3948","0.0725","0.120","0.140"
"193"," 0.07170"," 0.07620","1.03e-02"," 5444","0.0725","0.115","0.140"
"194"," 0.07220"," 0.07610","1.29e-02"," 6833","0.0725","0.110","0.140"
"195"," 0.07220"," 0.07540","1.72e-02"," 9114","0.0725","0.105","0.140"
"196"," 0.07230"," 0.07540","1.88e-02"," 9970","0.0725","0.100","0.140"
"197"," 0.06910"," 0.07190","2.31e-02","12246","0.0725","0.095","0.140"
"198"," 0.06720"," 0.06960","2.96e-02","15710","0.0725","0.090","0.140"
"200"," 0.06390"," 0.07580","1.78e-03","  943","0.0750","0.135","0.140"
"201"," 0.06510"," 0.07370","3.41e-03"," 1809","0.0750","0.130","0.140"
"202"," 0.07050"," 0.07650","6.48e-03"," 3443","0.0750","0.125","0.140"
"203"," 0.07160"," 0.07670","8.29e-03"," 4402","0.0750","0.120","0.140"
