"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"30","0.063271","0.068324","0.073377","0.00718473","0.002","0.070"
"65","0.063353","0.068352","0.073352","0.01135701","0.008","0.120"
"121","0.063062","0.068355","0.073648","0.01217480","0.016","0.140"
"115","0.065811","0.068393","0.070975","0.03601356","0.014","0.095"
"100","0.065677","0.068506","0.071334","0.02990314","0.012","0.095"
"109","0.064484","0.068539","0.072594","0.01827865","0.014","0.125"
"122","0.063941","0.068568","0.073195","0.01523111","0.016","0.135"
"43","0.064162","0.068630","0.073098","0.01062472","0.004","0.080"
"66","0.064112","0.068647","0.073183","0.01314826","0.008","0.115"
"94","0.064211","0.068656","0.073100","0.01512806","0.012","0.125"
"76","0.061637","0.068656","0.075676","0.00677036","0.010","0.140"
"29","0.063475","0.068716","0.073956","0.00687998","0.002","0.075"
"54","0.064285","0.068728","0.073172","0.01229758","0.006","0.100"
"53","0.064148","0.068833","0.073518","0.01140524","0.006","0.105"
"67","0.064532","0.068873","0.073213","0.01401209","0.008","0.110"
"62","0.061894","0.068889","0.075884","0.00646779","0.008","0.135"
"81","0.064930","0.068899","0.072867","0.01719337","0.010","0.115"
"83","0.065408","0.068907","0.072405","0.02074956","0.010","0.105"
"12","0.058583","0.068967","0.079350","0.00208723","0.000","0.085"
"99","0.066010","0.068991","0.071971","0.02772163","0.012","0.100"
"114","0.066286","0.069004","0.071721","0.03341329","0.014","0.100"
"93","0.064154","0.069064","0.073973","0.01281281","0.012","0.130"
"82","0.065277","0.069079","0.072882","0.01834223","0.010","0.110"
"110","0.065628","0.069192","0.072756","0.02229087","0.014","0.120"
"108","0.064731","0.069198","0.073666","0.01552490","0.014","0.130"
"95","0.065374","0.069290","0.073206","0.01842993","0.012","0.120"
"113","0.066507","0.069360","0.072213","0.03111338","0.014","0.105"
"111","0.066326","0.069561","0.072797","0.02578787","0.014","0.115"
"98","0.066433","0.069562","0.072691","0.02579006","0.012","0.105"
"51","0.064275","0.069582","0.074890","0.00941886","0.006","0.115"
"52","0.064643","0.069729","0.074815","0.01005030","0.006","0.110"
